ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,day_cos,day_cos_lower,day_cos_upper,day_sin,day_sin_lower,day_sin_upper,demand_supply_ratio,demand_supply_ratio_lower,demand_supply_ratio_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,hour_cos,hour_cos_lower,hour_cos_upper,hour_sin,hour_sin_lower,hour_sin_upper,lag_168,lag_168_lower,lag_168_upper,lag_24,lag_24_lower,lag_24_upper,lag_48,lag_48_lower,lag_48_upper,rolling_mean_24,rolling_mean_24_lower,rolling_mean_24_upper,rolling_std_24,rolling_std_24_lower,rolling_std_24_upper,volume_demand,volume_demand_lower,volume_demand_upper,volume_production,volume_production_lower,volume_production_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-09-13 03:00:00,27.774365174735628,45.14234213802073,51.775581867032535,27.774365174735628,27.774365174735628,20.647959800176476,20.647959800176476,20.647959800176476,-0.17367507432469154,-0.17367507432469154,-0.17367507432469154,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.304975695547476,19.304975695547476,19.304975695547476,-0.012985714748124513,-0.012985714748124513,-0.012985714748124513,0.020439967058012733,0.020439967058012733,0.020439967058012733,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.4904652491000511,-0.4904652491000511,-0.4904652491000511,2.0071244280537437,2.0071244280537437,2.0071244280537437,0.0,0.0,0.0,48.4223249749121
2018-09-13 04:00:00,27.774372259981174,45.04951771946091,51.82096968574551,27.774372259981174,27.774372259981174,20.74408542181279,20.74408542181279,20.74408542181279,-0.07750096196814635,-0.07750096196814635,-0.07750096196814635,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.31337523156164,19.31337523156164,19.31337523156164,-0.009181352823122515,-0.009181352823122515,-0.009181352823122515,0.025035141147174176,0.025035141147174176,0.025035141147174176,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.49633629497671994,-0.49633629497671994,-0.49633629497671994,2.004547447196022,2.004547447196022,2.004547447196022,0.0,0.0,0.0,48.51845768179396
2018-09-13 05:00:00,27.774379345226716,45.23034206334294,52.06848580254598,27.774379345226716,27.774379345226716,20.900907235125135,20.900907235125135,20.900907235125135,0.08089944726134601,0.08089944726134601,0.08089944726134601,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.32069415204878,19.32069415204878,19.32069415204878,-0.004751079528395683,-0.004751079528395683,-0.004751079528395683,0.02792378833958728,0.02792378833958728,0.02792378833958728,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.5026498067413927,-0.5026498067413927,-0.5026498067413927,2.0019634425564035,2.0019634425564035,2.0019634425564035,0.0,0.0,0.0,48.67528658035185
2018-09-13 06:00:00,27.774386430472262,45.55501405914228,52.170522140561125,27.774386430472262,27.774386430472262,21.046084612630185,21.046084612630185,21.046084612630185,0.22955381270341743,0.22955381270341743,0.22955381270341743,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.326433684672782,19.326433684672782,19.326433684672782,3.1893323931255766e-06,3.1893323931255766e-06,3.1893323931255766e-06,0.028909052102804277,0.028909052102804277,0.028909052102804277,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.5092753450415372,-0.5092753450415372,-0.5092753450415372,1.9993724602955232,1.9993724602955232,1.9993724602955232,0.0,0.0,0.0,48.820471043102444
2018-09-13 07:00:00,27.774393515717804,45.35672564914264,52.35408211508922,27.774393515717804,27.774393515717804,21.119495835379777,21.119495835379777,21.119495835379777,0.30859726406163634,0.30859726406163634,0.30859726406163634,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.330202689770356,19.330202689770356,19.330202689770356,0.004757458193181936,0.004757458193181936,0.004757458193181936,0.02792378833958728,0.02792378833958728,0.02792378833958728,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.5160786652180835,-0.5160786652180835,-0.5160786652180835,1.9967745467658686,1.9967745467658686,1.9967745467658686,0.0,0.0,0.0,48.893889351097584
2018-09-13 08:00:00,27.77440060096335,45.42421110545315,52.55592718736422,27.77440060096335,27.77440060096335,21.08586691065414,21.08586691065414,21.08586691065414,0.28287680325414205,0.28287680325414205,0.28287680325414205,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.33174431587267,19.33174431587267,19.33174431587267,0.009187731487908763,0.009187731487908763,0.009187731487908763,0.025035141147174183,0.025035141147174183,0.025035141147174183,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.5229239569824912,-0.5229239569824912,-0.5229239569824912,1.9941697485098184,1.9941697485098184,1.9941697485098184,0.0,0.0,0.0,48.860267511617494
2018-09-13 09:00:00,27.774407686208892,45.13290929453415,52.067393320195826,27.774407686208892,27.774407686208892,20.937411932753726,20.937411932753726,20.937411932753726,0.14457636440336225,0.14457636440336225,0.14457636440336225,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.33095350370851,19.33095350370851,19.33095350370851,0.012992093412910764,0.012992093412910764,0.012992093412910764,0.020439967058012737,0.020439967058012737,0.020439967058012737,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.5296760476152543,-0.5296760476152543,-0.5296760476152543,1.9915581122571069,1.9915581122571069,1.9915581122571069,0.0,0.0,0.0,48.71181961896262
2018-09-13 10:00:00,27.774414771454442,45.12376781023125,52.05022830458455,27.774414771454442,27.774414771454442,20.704894339162774,20.704894339162774,20.704894339162774,-0.07572695368325254,-0.07572695368325254,-0.07572695368325254,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.327884145819986,19.327884145819986,19.327884145819986,0.015911282990004386,0.015911282990004386,0.015911282990004386,0.014451419592395062,0.014451419592395062,0.014451419592395062,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.5362025378991722,-0.5362025378991722,-0.5362025378991722,1.9889396849252121,1.9889396849252121,1.9889396849252121,0.0,0.0,0.0,48.479309110617216
2018-09-13 11:00:00,27.774421856699984,44.687899298361884,51.50981951964304,27.774421856699984,27.774421856699984,20.468591342431587,20.468591342431587,20.468591342431587,-0.2980927437753989,-0.2980927437753989,-0.2980927437753989,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.32274541387485,19.32274541387485,19.32274541387485,0.01774636227369958,0.01774636227369958,0.01774636227369958,0.0074776083635604,0.0074776083635604,0.0074776083635604,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.5423758412847609,-0.5423758412847609,-0.5423758412847609,1.9863145136169007,1.9863145136169007,1.9863145136169007,0.0,0.0,0.0,48.24301319913157
2018-09-13 12:00:00,27.77442894194553,44.625515387361844,51.777713244919894,27.77442894194553,27.77442894194553,20.339555036530196,20.339555036530196,20.339555036530196,-0.4119400146691735,-0.4119400146691735,-0.4119400146691735,0.17760888209443604,0.17760888209443604,0.17760888209443604,0.08207778938686762,0.08207778938686762,0.08207778938686762,0.17038060673776675,0.17038060673776675,0.17038060673776675,19.315887503962998,19.315887503962998,19.315887503962998,0.018372273643424405,0.018372273643424405,0.018372273643424405,-6.21291801414869e-06,-6.21291801414869e-06,-6.21291801414869e-06,2.194523581599701,2.194523581599701,2.194523581599701,4.681260286035017,4.681260286035017,4.681260286035017,0.0939318929801217,0.0939318929801217,0.0939318929801217,14.06203583782637,14.06203583782637,14.06203583782637,-0.015638298979843087,-0.015638298979843087,-0.015638298979843087,-2.117761637550799,-2.117761637550799,-2.117761637550799,-0.03089749689205003,-0.03089749689205003,-0.03089749689205003,-0.5480750983814426,-0.5480750983814426,-0.5480750983814426,1.9836826456178158,1.9836826456178158,1.9836826456178158,0.0,0.0,0.0,48.11398397847573
