Year,Month,fill-level
2009,12,0.723185553786121
2010,1,0.656868808617182
2010,1,0.623085728522418
2010,1,0.589806937154413
2010,1,0.555966060532603
2010,1,
2010,2,0.521153641125091
2010,2,0.485413110496859
2010,2,0.45039481200417
2010,2,0.416948943782497
2010,3,0.383666645343676
2010,3,0.353005784141755
2010,3,0.327800045339411
2010,3,0.307730930793429
2010,3,0.289859010141888
2010,4,0.274505194392727
2010,4,0.266435171936251
2010,4,0.253434965439921
2010,4,0.267402534293541
2010,5,0.26682886167776
2010,5,0.281120427761636
2010,5,0.349042681893526
2010,5,0.37878511139018
2010,5,0.408355301624924
2010,6,0.44133944293126
2010,6,0.459599834802936
2010,6,0.4728612759902
2010,6,0.483280811440794
2010,7,0.492008143137869
2010,7,0.514122104422052
2010,7,0.535527917967089
2010,7,0.537922882598981
2010,8,0.54500733398649
2010,8,0.559314106729424
2010,8,0.569566705609181
2010,8,0.591943220242925
2010,8,0.58345195649661
2010,9,0.577086594909192
2010,9,0.59414919584269
2010,9,0.601888711945476
2010,9,0.599515743661741
2010,10,0.652451021651814
2010,10,0.637960085606196
2010,10,0.622168671588911
2010,10,0.632475531868332
2010,11,0.638178085128112
2010,11,0.621729193530829
2010,11,0.598386410745889
2010,11,0.571533695375268
2010,11,0.542094501249639
2010,12,0.514609559208895
2010,12,0.484401446821023
2010,12,0.454583881839209
2010,12,0.427455426532758
2011,1,0.402455398476192
2011,1,0.38027017351303
2011,1,0.362181263375968
2011,1,0.336421463497846
2011,1,0.318025951201775
2011,1,
2011,2,0.29761067473798
2011,2,0.270709982638597
2011,2,0.24338897511607
2011,2,0.218259578231247
2011,3,0.195677086314344
2011,3,0.17292914482463
2011,3,0.16671632678942
2011,3,0.151801989098341
2011,4,0.174923391545098
2011,4,0.191266397660307
2011,4,0.221693982539838
2011,4,0.255311669174924
2011,5,0.265311674786237
2011,5,0.301059247612667
2011,5,0.326815961268471
2011,5,0.365676634603622
2011,5,0.410958838772379
2011,6,0.468820400939558
2011,6,0.511591177668769
2011,6,0.537265068340185
2011,6,0.597146871636719
2011,7,0.626852154239291
2011,7,0.644287626941935
2011,7,0.677670620398022
2011,7,0.691615687885287
2011,8,0.69399230352267
2011,8,0.693298071840522
2011,8,0.687025016356978
2011,8,0.695166358605566
2011,8,0.705139738535245
2011,9,0.739139920341796
2011,9,0.77084204489724
2011,9,0.794011101422244
2011,9,0.804088795666271
2011,10,0.824459265793322
2011,10,0.827033231319657
2011,10,0.832099629990001
2011,10,0.832008558375053
2011,10,0.844380045272076
2011,11,0.835504013772407
2011,11,0.816931632880949
2011,11,0.823656286859314
2011,11,0.849550477691102
2011,12,0.836014531056936
2011,12,0.82419082056479
2011,12,0.808600459903238
2011,12,0.831732762326091
2012,1,0.81970704455495
2012,1,0.800631048294329
2012,1,0.77279220072341
2012,1,0.741967180550739
2012,1,0.707152684957304
2012,2,0.670736832772763
2012,2,0.637791746207033
2012,2,0.620658723291551
2012,2,0.611044018508356
2012,3,0.592223280889999
2012,3,0.584533368796833
2012,3,0.586457768694932
2012,3,0.593830697699474
2012,4,0.576163870549247
2012,4,0.556875149401217
2012,4,0.528568711092556
2012,4,0.514187420108927
2012,4,0.512366212262515
2012,5,0.507683402969731
2012,5,0.508379879177202
2012,5,0.561713167620029
2012,5,0.596916078320467
2012,6,0.609627274125
2012,6,0.64330390760636
2012,6,0.687422577904668
2012,6,0.728467763566192
2012,7,0.779168223806109
2012,7,0.822252672949093
2012,7,0.837883491179577
2012,7,0.863224855424513
2012,7,0.870786549008649
2012,8,0.87509581317469
2012,8,0.876281203110463
2012,8,0.876837508711564
2012,8,0.887415002631706
2012,9,0.901378475226613
2012,9,0.924562457845009
2012,9,0.933822247061636
2012,9,0.92583729211487
2012,10,0.945452198905345
2012,10,0.933847105179579
2012,10,0.931092960383006
2012,10,0.915893876598242
2012,10,0.904966517293507
2012,11,0.899607320294886
2012,11,0.904172965365852
2012,11,0.917431095878266
2012,11,0.895029779239712
2012,12,0.862688694438179
2012,12,0.832308651410628
2012,12,0.801567295919341
2012,12,0.781944982195303
2012,12,
2013,1,0.773395304677479
2013,1,0.745930395025234
2013,1,0.710458646304333
2013,1,0.675493655288046
2013,1,
2013,2,0.649521186635647
2013,2,0.618958158681207
2013,2,0.586274447089243
2013,2,0.554157365914863
2013,3,0.524302878491499
2013,3,0.49627111396914
2013,3,0.463605302466621
2013,3,0.430104808109919
2013,4,0.397273042016392
2013,4,0.364794087246944
2013,4,0.333690268972692
2013,4,0.339656750353793
2013,4,0.330265347783587
2013,5,0.317978255038679
2013,5,0.352688716883432
2013,5,0.426908042919813
2013,5,0.506150560514086
2013,6,0.573321347568113
2013,6,0.602187794944656
2013,6,0.63428675157706
2013,6,0.663831326166564
2013,7,0.700827556486285
2013,7,0.716146946828317
2013,7,0.721555916175957
2013,7,0.724697634382537
2013,7,0.717064789345687
2013,8,0.713399647833977
2013,8,0.739635455419799
2013,8,0.751346995758969
2013,8,0.761512282603694
2013,9,0.752385088720475
2013,9,0.751514493461137
2013,9,0.748073411689712
2013,9,0.763231757339878
2013,9,0.753099745583055
2013,10,0.739324588662678
2013,10,0.736838440189573
2013,10,0.717780175678997
2013,10,0.752238857895735
2013,11,0.772251550686432
2013,11,0.769639764908418
2013,11,0.768514247685614
2013,11,0.754697286481112
2013,12,0.736337013232599
2013,12,0.720413340560705
2013,12,0.710447423677722
2013,12,0.71186512198434
2013,12,0.719335407274731
2014,1,0.718472723967154
2014,1,0.707877273844434
2014,1,0.675779888379756
2014,1,0.643288981512967
2014,1,
2014,2,0.612352857336848
2014,2,0.586473255919655
2014,2,0.565005774041391
2014,2,0.540419131436036
2014,3,0.523145601235387
2014,3,0.503672043427076
2014,3,0.488618068204391
2014,3,0.481833822078722
2014,3,0.457896436479372
2014,4,0.431745023045664
2014,4,0.424650274898239
2014,4,0.409342079126251
2014,4,0.415034728418047
2014,5,0.421683152705158
2014,5,0.422732804972072
2014,5,0.446831375546121
2014,5,0.534351674472003
2014,6,0.600917056933507
2014,6,0.65999268284745
2014,6,0.715312937331731
2014,6,0.749790080769244
2014,6,0.75890380750053
2014,7,0.776282269259991
2014,7,0.822155036097578
2014,7,0.832480413710907
2014,7,0.832736345710768
2014,8,0.832579060598817
2014,8,0.838889655768374
2014,8,0.856908312262852
2014,8,0.856388143519438
2014,9,0.853780117321339
2014,9,0.854531640512335
2014,9,0.857691707713424
2014,9,0.837080512245569
2014,9,0.826364082207984
2014,10,0.81449997026004
2014,10,0.837598436463661
2014,10,0.832043124065015
2014,10,0.873223879055998
2014,11,0.915610224710653
2014,11,0.914936811000868
2014,11,0.90760456401779
2014,11,0.88489945087688
2014,12,0.862149783908325
2014,12,0.83506571409012
2014,12,0.814904097044297
2014,12,0.7962992266488
2014,12,0.774557800454965
2015,1,0.759460056988498
2015,1,0.740929873173097
2015,1,0.722406984064992
2015,1,0.690055013315646
2015,1,0.893530155758835
2015,2,0.659623682884484
2015,2,0.624167982519637
2015,2,0.591314584813317
2015,2,0.568499097139689
2015,3,0.545912607162056
2015,3,0.525874831800884
2015,3,0.508543953978253
2015,3,0.480704320823471
2015,3,0.450314317714804
2015,4,0.423557696084538
2015,4,0.404562895527447
2015,4,0.385625246196371
2015,4,0.377957611017028
2015,5,0.358873281956149
2015,5,0.366620457501596
2015,5,0.386666874285259
2015,5,0.392857639859178
2015,6,0.401595436655567
2015,6,0.438404585789686
2015,6,0.479975579564495
2015,6,0.515001621669545
2015,6,0.553206977780322
2015,7,0.623709650448849
2015,7,0.689968991882674
2015,7,0.729469495217478
2015,7,0.763498575287552
2015,8,0.788205019431978
2015,8,0.819821122554449
2015,8,0.850897305110672
2015,8,0.87295919340738
2015,8,0.912873980003524
2015,9,0.935965095386715
2015,9,0.926215887423588
2015,9,0.951462476586795
2015,9,0.949163745978091
2015,10,0.935517200358675
2015,10,0.921395039823491
2015,10,0.899535439371443
2015,10,0.893826489214495
2015,11,0.881073433012703
2015,11,0.872262773313043
2015,11,0.88764214859431
2015,11,0.872244143752869
2015,11,0.862421708151106
2015,12,0.88926987835795
2015,12,0.896756660909459
2015,12,0.901822891240403
2015,12,0.914237921928676
2016,1,0.859953347541179
2016,1,0.823706508113398
2016,1,0.784828916668631
2016,1,0.776965727220593
2016,1,
2016,2,0.761777585496775
2016,2,0.735800627793733
2016,2,0.706033340179136
2016,2,0.671579315352441
2016,2,0.636441215320681
2016,3,0.597683200962452
2016,3,0.569802605220541
2016,3,0.546970900851461
2016,3,0.527517431544783
2016,4,0.511296415380834
2016,4,0.490734487243801
2016,4,0.474047395396703
2016,4,0.44807714321306
2016,5,0.446448992600922
2016,5,0.471422984163752
2016,5,0.498537916205136
2016,5,0.557237191335683
2016,5,0.644618694426956
2016,6,0.677215935680882
2016,6,0.698050854210225
2016,6,0.729818855583874
2016,6,0.762191251513652
2016,7,0.77022255590832
2016,7,0.784678870150843
2016,7,0.787921872562586
2016,7,0.80485782615478
2016,8,0.820183725620247
2016,8,0.844777606819766
2016,8,0.840820059771709
2016,8,0.842676618891945
2016,8,0.843329158516234
2016,9,0.848802826306286
2016,9,0.845382506394092
2016,9,0.832461279132536
2016,9,0.872965870870214
2016,10,0.861135090123303
2016,10,0.836668305170152
2016,10,0.812653792069419
2016,10,0.797635448686223
2016,10,0.777014208967552
2016,11,0.745293062060003
2016,11,0.734321766172086
2016,11,0.725143509337786
2016,11,0.700450700684692
2016,12,0.702394122934896
2016,12,0.674573287679688
2016,12,0.66449188996888
2016,12,0.677671854886949
2017,1,0.657297681293116
2017,1,0.639534227327769
2017,1,0.622118450334827
2017,1,0.601309175507291
2017,1,0.575226893453505
2017,1,
2017,2,0.545761887286672
2017,2,0.521207846411621
2017,2,0.510501123946055
2017,2,0.49093857070872
2017,3,0.463996607399976
2017,3,0.449009575145024
2017,3,0.427709647082061
2017,3,0.424877533087109
2017,4,0.430225872194484
2017,4,0.426592715168614
2017,4,0.408106608219227
2017,4,0.380606712028523
2017,5,0.373409894092073
2017,5,0.370521891416598
2017,5,0.468274476268073
2017,5,0.525769114658209
2017,5,0.56890861078472
2017,6,0.652583560872088
2017,6,0.696052160523962
2017,6,0.724001382627598
2017,6,0.738631984261388
2017,7,0.739370208639851
2017,7,0.740546508248069
2017,7,0.741810344343852
2017,7,0.748413625615421
2017,7,0.778348186479653
2017,8,0.787337285942426
2017,8,0.79849902980393
2017,8,0.793373880683278
2017,8,0.780979106836039
2017,9,0.797074710147611
2017,9,0.823083820675894
2017,9,0.823070353523961
2017,9,0.836145274656952
2017,10,0.878209643154142
2017,10,0.886164072556526
2017,10,0.89024467570537
2017,10,0.905700701526389
2017,10,0.90456626231543
2017,11,0.892181196040208
2017,11,0.874873773507194
2017,11,0.871895456744069
2017,11,0.846848013090072
2017,12,0.856929747479679
2017,12,0.828042874922704
2017,12,0.8247116626658
2017,12,0.819165216142177
2018,1,0.793894666671156
2018,1,0.762394268829042
2018,1,0.731388339915404
2018,1,0.707339373350975
2018,1,0.67978479491211
2018,2,0.647168699645477
2018,2,0.613890693861335
2018,2,0.576110450846579
2018,2,0.53783248434163
2018,3,0.501250817848914
2018,3,0.467332701499455
2018,3,0.433669058208397
2018,3,0.403394844549788
2018,4,0.376716556853265
2018,4,0.357034089850593
2018,4,0.375922471850847
2018,4,0.392899864991802
2018,4,0.406419370477983
2018,5,0.501784341517995
2018,5,0.55611683652112
2018,5,0.591928743054597
2018,5,0.631404781063389
2018,6,0.644391548464352
2018,6,0.662791325358535
2018,6,0.672435489536584
2018,6,0.667088020182772
2018,7,0.655081998121332
2018,7,0.640516038816821
2018,7,0.626163365531049
2018,7,0.613272327135077
2018,7,0.614217833427042
2018,8,0.628684584712314
2018,8,0.649715338076015
2018,8,0.651936351995439
2018,8,0.645833207078784
2018,9,0.65653055865113
2018,9,0.714256944280781
2018,9,0.762715853194577
2018,9,0.792781662677023
2018,10,0.795398330297613
2018,10,0.827009327124976
2018,10,0.827909494005434
2018,10,0.83417542312108
2018,10,0.817942062067859
2018,11,0.817023882871691
2018,11,0.825211967360113
2018,11,0.796354610311125
2018,11,0.776213362332601
2018,12,0.757210032579285
2018,12,0.72226142659785
2018,12,0.692324677321428
2018,12,0.675707109646184
2018,12,
2019,1,0.661513236526956
2019,1,0.640588480871594
2019,1,0.612380408885178
2019,1,0.577629040566428
2019,1,
2019,2,0.546193677845525
2019,2,0.523988981625193
2019,2,0.508529645129324
2019,2,0.498248372438576
2019,3,0.488273253001772
2019,3,0.473604606663771
2019,3,0.458388127807761
2019,3,0.450680119229185
2019,4,0.447677757988546
2019,4,0.436878981928204
2019,4,0.418582256802876
2019,4,0.408923839889031
2019,4,0.461791697949738
2019,5,0.50858413098152
2019,5,0.509849089339964
2019,5,0.526521367319936
2019,5,0.589591294384085
2019,6,0.611013885755906
2019,6,0.661498366546697
2019,6,0.696102213438646
2019,6,0.721531001944881
2019,7,0.734513841426531
2019,7,0.74506243708315
2019,7,0.740102260573678
