Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn);Høyeste vindkast (døgn);Middel av middelvind fra hovedobs. (døgn);Snødybde
Blåsjø;SN40510;17.08.2022;6,8;8,5;4,3;-
Blåsjø;SN40510;18.08.2022;9,5;12,2;4,9;-
Blåsjø;SN40510;19.08.2022;9,9;13,1;5,6;-
Blåsjø;SN40510;20.08.2022;8,1;10,5;4,8;-
Blåsjø;SN40510;21.08.2022;10,4;15,3;6,5;-
Blåsjø;SN40510;22.08.2022;10;14,2;3,8;-
Blåsjø;SN40510;23.08.2022;11,7;13,9;6,5;-
Blåsjø;SN40510;24.08.2022;12,8;17,8;9,3;-
Blåsjø;SN40510;25.08.2022;13;20,2;7,9;-
Blåsjø;SN40510;26.08.2022;10;13,2;5,6;-
Blåsjø;SN40510;27.08.2022;6,9;8,6;3,9;-
Blåsjø;SN40510;28.08.2022;5,1;7;2,1;-
Blåsjø;SN40510;30.08.2022;6,8;8,6;3,1;-
Blåsjø;SN40510;31.08.2022;6,9;8,8;3,7;-
Blåsjø;SN40510;01.09.2022;5,4;7,1;2,4;-
Blåsjø;SN40510;02.09.2022;6,2;9,3;2,8;-
Blåsjø;SN40510;03.09.2022;5,1;7;3,1;-
Blåsjø;SN40510;04.09.2022;7;8,2;4,6;-
Blåsjø;SN40510;05.09.2022;9,6;12,3;6,4;-
Blåsjø;SN40510;06.09.2022;9;10,8;5,8;-
Blåsjø;SN40510;08.09.2022;12,6;-;10;-
Blåsjø;SN40510;09.09.2022;14,9;18,8;9,5;-
Blåsjø;SN40510;10.09.2022;10;12,7;3,5;-
Blåsjø;SN40510;11.09.2022;4,9;6,5;2,9;-
Blåsjø;SN40510;12.09.2022;13,6;18;6,9;-
Blåsjø;SN40510;13.09.2022;11,2;14,7;8,7;-
Blåsjø;SN40510;14.09.2022;11,8;15,8;7,8;-
Blåsjø;SN40510;15.09.2022;11,4;15,8;8,2;-
Blåsjø;SN40510;16.09.2022;10;12,4;5,9;-
Blåsjø;SN40510;17.09.2022;10;12,6;7,4;-
Blåsjø;SN40510;18.09.2022;8,9;11;4,5;-
Blåsjø;SN40510;19.09.2022;5,2;7,2;2,1;-
Blåsjø;SN40510;20.09.2022;5,5;7,4;2,7;-
Blåsjø;SN40510;21.09.2022;5,1;6,2;2,3;-
Blåsjø;SN40510;22.09.2022;10,5;15,4;5,8;-
Blåsjø;SN40510;23.09.2022;10,6;13,8;5,6;-
Blåsjø;SN40510;24.09.2022;6,4;8,1;2,5;-
Blåsjø;SN40510;25.09.2022;6;7,9;3,4;-
Blåsjø;SN40510;26.09.2022;9,1;12,5;4,1;-
Blåsjø;SN40510;27.09.2022;11,6;14,5;5,9;-
Blåsjø;SN40510;28.09.2022;15,6;20;10,7;-
Blåsjø;SN40510;29.09.2022;12,3;15,7;4,5;-
Blåsjø;SN40510;30.09.2022;13,9;18,1;7,6;-
Blåsjø;SN40510;01.10.2022;14,9;19,8;5,9;-
Blåsjø;SN40510;02.10.2022;9,2;13;6,3;-
Blåsjø;SN40510;03.10.2022;11,3;15,3;5,7;-
Blåsjø;SN40510;04.10.2022;10,1;14;6,5;-
Blåsjø;SN40510;05.10.2022;12,4;16,6;7,3;-
Blåsjø;SN40510;06.10.2022;17,4;22,9;12,4;-
Blåsjø;SN40510;07.10.2022;16,1;22,1;10,5;-
Blåsjø;SN40510;08.10.2022;10,6;14,1;7,4;-
Blåsjø;SN40510;09.10.2022;10,7;14,3;7,3;-
Blåsjø;SN40510;10.10.2022;13,5;18,3;9,7;-
Blåsjø;SN40510;11.10.2022;16;21;9,1;-
Blåsjø;SN40510;12.10.2022;9,3;11,7;5,4;-
Blåsjø;SN40510;13.10.2022;9,7;13,7;4,1;-
Blåsjø;SN40510;14.10.2022;8,5;11,8;4,4;-
Blåsjø;SN40510;15.10.2022;13,1;17,2;6;-
Blåsjø;SN40510;16.10.2022;13,3;18;7,9;-
Blåsjø;SN40510;17.10.2022;13,7;17,7;5,8;-
Blåsjø;SN40510;18.10.2022;7,2;10,5;4,2;-
Blåsjø;SN40510;19.10.2022;5,7;6,6;1,1;-
Blåsjø;SN40510;20.10.2022;7;8,4;3,6;-
Blåsjø;SN40510;21.10.2022;13,3;16,3;8,8;-
Blåsjø;SN40510;22.10.2022;9,1;12;2,3;-
Blåsjø;SN40510;23.10.2022;4,5;5,8;3,4;-
Blåsjø;SN40510;24.10.2022;12,3;16,4;8,5;-
Blåsjø;SN40510;25.10.2022;9,6;12,4;4,4;-
Blåsjø;SN40510;26.10.2022;12,1;15,2;4,7;-
Blåsjø;SN40510;27.10.2022;12,5;16;5,9;-
Blåsjø;SN40510;28.10.2022;8;10,6;5,1;-
Blåsjø;SN40510;29.10.2022;14;17,3;8,4;-
Blåsjø;SN40510;30.10.2022;8,9;11,1;4,2;-
Blåsjø;SN40510;31.10.2022;9,2;12,6;5,3;-
Blåsjø;SN40510;01.11.2022;18,6;23,4;11,2;-
Blåsjø;SN40510;02.11.2022;9,8;13,6;4,8;-
Blåsjø;SN40510;03.11.2022;13,5;17,1;7,6;-
Blåsjø;SN40510;04.11.2022;13,6;19;7,4;-
Blåsjø;SN40510;06.11.2022;8,7;11,9;5,9;-
Blåsjø;SN40510;07.11.2022;10;12,3;5,2;-
Blåsjø;SN40510;08.11.2022;12;16,1;5,4;-
Blåsjø;SN40510;09.11.2022;9,6;13,5;6;-
Blåsjø;SN40510;10.11.2022;12,2;16,6;8,6;-
Blåsjø;SN40510;11.11.2022;15;21,3;12,5;-
Blåsjø;SN40510;12.11.2022;16,3;21,5;4,9;-
Blåsjø;SN40510;13.11.2022;6,5;8,3;3;-
Blåsjø;SN40510;14.11.2022;11,5;14,3;8,3;-
Blåsjø;SN40510;15.11.2022;17,9;23,9;13,9;-
Blåsjø;SN40510;16.11.2022;24,1;29,4;17,6;-
Blåsjø;SN40510;17.11.2022;23,2;30,2;19,1;-
Blåsjø;SN40510;18.11.2022;19,8;25,5;11,6;-
Blåsjø;SN40510;19.11.2022;10,8;13,5;4,7;-
Blåsjø;SN40510;20.11.2022;12,1;16,3;6,1;-
Blåsjø;SN40510;21.11.2022;13,1;18,4;9,1;-
Blåsjø;SN40510;22.11.2022;13,1;17,3;10,7;-
Blåsjø;SN40510;23.11.2022;19,7;25,5;13,3;-
Blåsjø;SN40510;24.11.2022;16,8;22;11,3;-
Blåsjø;SN40510;25.11.2022;16,7;21,3;11,2;-
Blåsjø;SN40510;26.11.2022;13,3;15,6;5,5;-
Blåsjø;SN40510;27.11.2022;16,5;23,6;12,5;-
Blåsjø;SN40510;28.11.2022;17,3;21;13,2;-
Blåsjø;SN40510;29.11.2022;14,7;18,4;8,6;-
Blåsjø;SN40510;30.11.2022;8,1;10,1;3,6;-
Blåsjø;SN40510;01.12.2022;3,9;5,2;2,2;-
Blåsjø;SN40510;02.12.2022;7,3;8,8;4,6;-
Blåsjø;SN40510;03.12.2022;10,6;13,6;7,1;-
Blåsjø;SN40510;04.12.2022;12,3;14,6;5;-
Blåsjø;SN40510;05.12.2022;5,1;6,3;1,3;-
Blåsjø;SN40510;06.12.2022;6,2;7,5;2,4;-
Blåsjø;SN40510;07.12.2022;6,5;8;1,8;-
Blåsjø;SN40510;08.12.2022;6,8;9,3;3,1;-
Blåsjø;SN40510;09.12.2022;9,7;12,8;7,6;-
Blåsjø;SN40510;10.12.2022;10,9;12,7;3,7;-
Blåsjø;SN40510;11.12.2022;9,3;10,9;7,1;-
Blåsjø;SN40510;12.12.2022;10,2;12,6;7,2;-
Blåsjø;SN40510;13.12.2022;8,3;10,7;4,4;-
Blåsjø;SN40510;14.12.2022;4,8;5,7;1,2;-
Blåsjø;SN40510;15.12.2022;4,1;4,4;1,4;-
Blåsjø;SN40510;17.12.2022;7,2;10,4;4,9;-
Blåsjø;SN40510;18.12.2022;16;21,5;7,8;-
Blåsjø;SN40510;19.12.2022;14,9;19,1;11;-
Blåsjø;SN40510;20.12.2022;11,9;14,4;4,8;-
Blåsjø;SN40510;21.12.2022;11,1;13,9;6,1;-
Blåsjø;SN40510;26.12.2022;14,5;19,6;9,4;-
Blåsjø;SN40510;27.12.2022;19,7;24,8;11,7;-
Blåsjø;SN40510;28.12.2022;12,3;15,1;10,3;-
Blåsjø;SN40510;29.12.2022;15,9;19,6;10,8;-
Blåsjø;SN40510;30.12.2022;17,1;21,6;10,4;-
Blåsjø;SN40510;31.12.2022;20,1;27,1;11;-
Blåsjø;SN40510;01.01.2023;9,6;11,3;4,4;-
Blåsjø;SN40510;02.01.2023;7,9;9,9;3,2;-
Blåsjø;SN40510;03.01.2023;9,8;12,1;4;-
Blåsjø;SN40510;04.01.2023;20,9;26,2;14,8;-
Blåsjø;SN40510;05.01.2023;13,4;16,4;7,3;-
Blåsjø;SN40510;06.01.2023;18,2;24,8;11,7;-
Blåsjø;SN40510;07.01.2023;15,3;17,7;10,5;-
Blåsjø;SN40510;08.01.2023;16,6;21,6;9,8;-
Blåsjø;SN40510;09.01.2023;16,2;20,7;7,4;-
Blåsjø;SN40510;10.01.2023;12,2;14,8;8,1;-
Blåsjø;SN40510;11.01.2023;21,8;27,3;12,3;-
Blåsjø;SN40510;12.01.2023;14,3;17,2;5,1;-
Blåsjø;SN40510;15.01.2023;17,6;20,6;5,1;-
Blåsjø;SN40510;16.01.2023;14;17,3;3,7;-
Blåsjø;SN40510;17.01.2023;11,5;13,7;6,2;-
Blåsjø;SN40510;18.01.2023;11,8;13,4;1,5;-
Blåsjø;SN40510;19.01.2023;2,7;2,9;0,6;-
Blåsjø;SN40510;20.01.2023;1,8;2;0;-
Blåsjø;SN40510;22.01.2023;5,5;6,2;2,5;-
Blåsjø;SN40510;23.01.2023;6,2;7,6;1,9;-
Blåsjø;SN40510;24.01.2023;7,7;9,7;3,5;-
Blåsjø;SN40510;25.01.2023;10,8;13,6;7,8;-
Blåsjø;SN40510;27.01.2023;5,5;6,5;3,2;-
Blåsjø;SN40510;28.01.2023;14,4;17,7;10,5;-
Blåsjø;SN40510;29.01.2023;19,7;24,2;14,4;-
Blåsjø;SN40510;30.01.2023;22,6;28,6;14,6;-
Blåsjø;SN40510;31.01.2023;18,4;24;10,7;-
Blåsjø;SN40510;01.02.2023;17;23,8;7,8;-
Blåsjø;SN40510;02.02.2023;9,3;10,9;4,1;-
Blåsjø;SN40510;03.02.2023;13;17,7;4,6;-
Blåsjø;SN40510;04.02.2023;12,2;15;6,6;-
Blåsjø;SN40510;06.02.2023;10,3;11,8;2,1;-
Blåsjø;SN40510;07.02.2023;7,7;9,4;4,9;-
Blåsjø;SN40510;08.02.2023;13,7;16,3;7,4;-
Blåsjø;SN40510;09.02.2023;26,5;34,9;17,6;-
Blåsjø;SN40510;10.02.2023;20,7;26,8;11,7;-
Blåsjø;SN40510;11.02.2023;22,8;26,6;13,8;-
Blåsjø;SN40510;12.02.2023;14,7;16,6;10,7;-
Blåsjø;SN40510;13.02.2023;11,6;15,4;6,4;-
Blåsjø;SN40510;14.02.2023;3,1;4,5;1,4;-
Blåsjø;SN40510;15.02.2023;9,1;10,5;3,6;-
Blåsjø;SN40510;16.02.2023;12,2;15,6;7,9;-
Blåsjø;SN40510;17.02.2023;24,8;28,1;11,4;-
Blåsjø;SN40510;18.02.2023;26,5;31,4;10,1;-
Blåsjø;SN40510;19.02.2023;16;20,1;10,3;-
Blåsjø;SN40510;20.02.2023;24,1;29,2;18,3;-
Blåsjø;SN40510;21.02.2023;21,9;28,2;5,8;-
Blåsjø;SN40510;22.02.2023;9,7;10,9;6,5;-
Blåsjø;SN40510;23.02.2023;7,9;9,8;5,7;-
Blåsjø;SN40510;24.02.2023;12,9;15,2;6,5;-
Blåsjø;SN40510;25.02.2023;7;9,3;2,9;-
Blåsjø;SN40510;26.02.2023;5,7;6,9;1,1;-
Blåsjø;SN40510;27.02.2023;3,6;3,8;1,4;-
Blåsjø;SN40510;28.02.2023;5,9;6,4;1,9;-
Blåsjø;SN40510;02.03.2023;5,5;6,1;1,7;-
Blåsjø;SN40510;03.03.2023;16,9;20,8;9,4;-
Blåsjø;SN40510;04.03.2023;15,9;18,4;8;-
Blåsjø;SN40510;05.03.2023;10,7;12,6;3,8;-
Blåsjø;SN40510;06.03.2023;6,2;7,8;2,3;-
Blåsjø;SN40510;07.03.2023;5,7;6,3;2,5;-
Blåsjø;SN40510;08.03.2023;6;7,1;3,3;-
Blåsjø;SN40510;09.03.2023;9,1;11,4;2,3;-
Blåsjø;SN40510;10.03.2023;6,8;7,8;2,4;-
Blåsjø;SN40510;11.03.2023;12,1;14,4;7,3;-
Blåsjø;SN40510;12.03.2023;13,4;15,4;7,6;-
Blåsjø;SN40510;13.03.2023;14,8;17,2;7,8;-
Blåsjø;SN40510;14.03.2023;14,7;18,8;8,5;-
Blåsjø;SN40510;15.03.2023;11,2;13,7;3,5;-
Blåsjø;SN40510;16.03.2023;21,9;27,4;13,6;-
Blåsjø;SN40510;17.03.2023;20,7;26,5;8,2;-
Blåsjø;SN40510;20.03.2023;7,7;9,4;4;-
Blåsjø;SN40510;21.03.2023;10,8;13,5;5,4;-
Blåsjø;SN40510;22.03.2023;15;18,6;9,8;-
Blåsjø;SN40510;23.03.2023;15,4;20;8,2;-
Blåsjø;SN40510;25.03.2023;5,6;6,6;3,1;-
Blåsjø;SN40510;26.03.2023;7,8;9,2;4,5;-
Blåsjø;SN40510;27.03.2023;11,8;13,9;6,4;-
Blåsjø;SN40510;28.03.2023;11,1;14;3,6;-
Blåsjø;SN40510;29.03.2023;8;9,7;5,5;-
Blåsjø;SN40510;30.03.2023;14;16,8;10,2;-
Blåsjø;SN40510;01.04.2023;18,4;21,1;6,2;-
Blåsjø;SN40510;02.04.2023;2,4;3,1;0,9;-
Blåsjø;SN40510;03.04.2023;5,8;7,1;2,6;-
Blåsjø;SN40510;04.04.2023;5,2;6;2,8;-
Blåsjø;SN40510;05.04.2023;5,6;6,9;2,6;-
Blåsjø;SN40510;06.04.2023;13,1;15;7,8;-
Blåsjø;SN40510;07.04.2023;8,8;9,9;5,3;-
Blåsjø;SN40510;08.04.2023;6,9;8,4;4,3;-
Blåsjø;SN40510;10.04.2023;17,6;20,9;13,1;-
Blåsjø;SN40510;11.04.2023;19,1;22,1;10;-
Blåsjø;SN40510;12.04.2023;20,5;25,7;14,2;-
Blåsjø;SN40510;13.04.2023;24,5;28,3;16,3;-
Blåsjø;SN40510;14.04.2023;19,1;21,6;10,9;-
Blåsjø;SN40510;15.04.2023;11,3;13,7;3,4;-
Blåsjø;SN40510;17.04.2023;4,3;5,1;1,9;-
Blåsjø;SN40510;18.04.2023;4,7;5,7;2,6;-
Blåsjø;SN40510;19.04.2023;5,4;8;2,5;-
Blåsjø;SN40510;21.04.2023;3,8;4;1,7;-
Blåsjø;SN40510;22.04.2023;4,7;5,9;2,9;-
Blåsjø;SN40510;23.04.2023;9,5;10,7;3,6;-
Blåsjø;SN40510;24.04.2023;4,7;5,9;1,9;-
Blåsjø;SN40510;25.04.2023;11,7;13,7;7,8;-
Blåsjø;SN40510;26.04.2023;12,9;15,1;10,2;-
Blåsjø;SN40510;28.04.2023;6,8;7,8;3,5;-
Blåsjø;SN40510;29.04.2023;15,1;18,3;11;-
Blåsjø;SN40510;30.04.2023;15,6;19,6;8,5;-
Blåsjø;SN40510;01.05.2023;10,9;12,9;6,1;-
Blåsjø;SN40510;02.05.2023;11,4;14,4;5,9;-
Blåsjø;SN40510;03.05.2023;8,2;9,9;3,2;-
Blåsjø;SN40510;04.05.2023;8,6;10,4;6,1;-
Blåsjø;SN40510;05.05.2023;14,2;17,9;10,4;-
Blåsjø;SN40510;06.05.2023;13,4;17,7;8,6;-
Blåsjø;SN40510;07.05.2023;10;11,8;4,8;-
Blåsjø;SN40510;08.05.2023;14,6;17,6;11,8;-
Blåsjø;SN40510;09.05.2023;14;17,8;8,4;-
Blåsjø;SN40510;10.05.2023;13;15,4;9,6;-
Blåsjø;SN40510;11.05.2023;11,2;13,5;3,1;-
Blåsjø;SN40510;12.05.2023;2,4;3,2;0,9;-
Blåsjø;SN40510;14.05.2023;9;12;4,9;-
Blåsjø;SN40510;15.05.2023;6,8;8,2;3,3;-
Blåsjø;SN40510;16.05.2023;13,6;16,4;8,3;-
Blåsjø;SN40510;17.05.2023;15,6;18,2;8,8;-
Blåsjø;SN40510;18.05.2023;7,9;8,9;1,7;-
Blåsjø;SN40510;19.05.2023;2,6;3,1;1;-
Blåsjø;SN40510;20.05.2023;5,3;6,3;1,4;-
Blåsjø;SN40510;21.05.2023;3;3,3;1,5;-
Blåsjø;SN40510;22.05.2023;5,1;5,9;2,8;-
Blåsjø;SN40510;23.05.2023;9,4;12,1;5,6;-
Blåsjø;SN40510;24.05.2023;9,2;11,2;5,7;-
Blåsjø;SN40510;25.05.2023;14,1;17,8;11,1;-
Blåsjø;SN40510;26.05.2023;15,4;20,3;8,2;-
Blåsjø;SN40510;27.05.2023;8,9;11,7;5;-
Blåsjø;SN40510;28.05.2023;15,5;19,3;9,9;-
Blåsjø;SN40510;29.05.2023;10,1;12,5;6;-
Blåsjø;SN40510;30.05.2023;9,9;11,2;3,4;-
Blåsjø;SN40510;31.05.2023;8;9,5;5,4;-
Blåsjø;SN40510;01.06.2023;10,4;12,2;3,7;-
Blåsjø;SN40510;02.06.2023;8,1;9,5;3,5;-
Blåsjø;SN40510;03.06.2023;5,6;6,6;2,8;-
Blåsjø;SN40510;04.06.2023;4,7;5,6;2,5;-
Blåsjø;SN40510;05.06.2023;4,5;5,3;2,5;-
Blåsjø;SN40510;06.06.2023;5,2;5,9;2,5;-
Blåsjø;SN40510;08.06.2023;5;5;1,7;-
Blåsjø;SN40510;10.06.2023;8,2;10,9;5;-
Blåsjø;SN40510;11.06.2023;8,4;10,3;5,4;-
Blåsjø;SN40510;12.06.2023;7,1;8,9;2,9;-
Blåsjø;SN40510;13.06.2023;4;4,8;1,6;-
Blåsjø;SN40510;14.06.2023;8;-;2;-
Blåsjø;SN40510;15.06.2023;10;12,4;2,1;-
Blåsjø;SN40510;16.06.2023;8;10,4;2,5;-
Blåsjø;SN40510;17.06.2023;11,9;16,2;2,2;-
Blåsjø;SN40510;18.06.2023;13,2;17;2,7;-
Blåsjø;SN40510;19.06.2023;8;10,1;3,8;-
Blåsjø;SN40510;20.06.2023;9,2;10,4;4;-
Blåsjø;SN40510;21.06.2023;9,4;11,6;5,4;-
Blåsjø;SN40510;22.06.2023;9,8;-;6,8;-
Blåsjø;SN40510;23.06.2023;8,5;10,7;4,3;-
Blåsjø;SN40510;24.06.2023;5,9;7,6;1,8;-
Blåsjø;SN40510;25.06.2023;7,3;9,6;4,3;-
Blåsjø;SN40510;26.06.2023;10,7;13,3;5,6;-
Blåsjø;SN40510;27.06.2023;8,1;-;4,6;-
Blåsjø;SN40510;28.06.2023;6,9;8,9;2,6;-
Blåsjø;SN40510;29.06.2023;3,8;4,3;2;-
Blåsjø;SN40510;30.06.2023;10,2;12,8;5,8;-
Blåsjø;SN40510;02.07.2023;9,2;11,3;4,3;-
Blåsjø;SN40510;03.07.2023;10,5;13,6;5,5;-
Blåsjø;SN40510;04.07.2023;8,7;11,4;5,5;-
Blåsjø;SN40510;05.07.2023;7,6;10;4,2;-
Blåsjø;SN40510;06.07.2023;7,8;10,3;4,4;-
Blåsjø;SN40510;07.07.2023;6,4;8,2;2,8;-
Blåsjø;SN40510;08.07.2023;4,6;5,8;2,1;-
Blåsjø;SN40510;09.07.2023;6,4;9,4;3,9;-
Blåsjø;SN40510;10.07.2023;8,6;10,6;4,8;-
Blåsjø;SN40510;11.07.2023;13,3;17,6;6;-
Blåsjø;SN40510;12.07.2023;12,6;14,9;5,3;-
Blåsjø;SN40510;13.07.2023;10,7;13,9;6,1;-
Blåsjø;SN40510;14.07.2023;8,6;11;3,3;-
Blåsjø;SN40510;15.07.2023;11,7;15,9;8,5;-
Blåsjø;SN40510;16.07.2023;13;17,7;9;-
Blåsjø;SN40510;17.07.2023;10,9;13,9;8,2;-
Blåsjø;SN40510;18.07.2023;11,2;15,3;8,4;-
Blåsjø;SN40510;19.07.2023;10,8;13,6;8,2;-
Blåsjø;SN40510;20.07.2023;9,9;12,1;6,2;-
Blåsjø;SN40510;21.07.2023;6,5;8,3;4,8;-
Blåsjø;SN40510;22.07.2023;6,8;8,7;4,6;-
Blåsjø;SN40510;23.07.2023;7,1;8,9;3,7;-
Blåsjø;SN40510;24.07.2023;6,8;8,3;3,3;-
Blåsjø;SN40510;25.07.2023;11,6;15,3;7,4;-
Blåsjø;SN40510;26.07.2023;9,9;13,3;4,3;-
Blåsjø;SN40510;27.07.2023;6;7,7;3,2;-
Blåsjø;SN40510;28.07.2023;6,1;8,3;2,5;-
Blåsjø;SN40510;29.07.2023;5,8;9,9;2,9;-
Blåsjø;SN40510;30.07.2023;7,4;9,2;3,6;-
Blåsjø;SN40510;31.07.2023;8,3;10,8;2,3;-
Blåsjø;SN40510;01.08.2023;6,9;9,1;2,7;-
Blåsjø;SN40510;02.08.2023;6,3;8,3;1,9;-
Blåsjø;SN40510;03.08.2023;6,5;8,9;3,3;-
Blåsjø;SN40510;04.08.2023;8,2;10,3;5,6;-
Blåsjø;SN40510;05.08.2023;6;7,5;3;-
Blåsjø;SN40510;06.08.2023;6,9;8,7;4,2;-
Blåsjø;SN40510;07.08.2023;10,5;13,3;7,8;-
Blåsjø;SN40510;08.08.2023;17,8;25,1;12,6;-
Blåsjø;SN40510;09.08.2023;17,4;24,1;10,8;-
Blåsjø;SN40510;10.08.2023;11,9;14,5;7,6;-
Blåsjø;SN40510;11.08.2023;7,3;9,2;3,5;-
Blåsjø;SN40510;12.08.2023;9,9;12,5;5,2;-
Blåsjø;SN40510;13.08.2023;8,8;12,1;4,8;-
Blåsjø;SN40510;14.08.2023;6,2;8,2;4,5;-
Blåsjø;SN40510;15.08.2023;8,9;11,3;4,2;-
Blåsjø;SN40510;16.08.2023;6,2;7,6;3,6;-
Blåsjø;SN40510;17.08.2023;7,2;8,7;4,3;-
Blåsjø;SN40510;18.08.2023;10,9;14,1;7,4;-
Blåsjø;SN40510;19.08.2023;13,6;18,1;9,7;-
Blåsjø;SN40510;20.08.2023;10,8;13,2;4,1;-
Blåsjø;SN40510;21.08.2023;8,7;11,7;5,1;-
Blåsjø;SN40510;22.08.2023;6,6;8,8;3,4;-
Blåsjø;SN40510;23.08.2023;7,3;9,3;5,1;-
Blåsjø;SN40510;24.08.2023;6,9;8,8;3,4;-
Blåsjø;SN40510;25.08.2023;10,5;13,1;6,4;-
Blåsjø;SN40510;26.08.2023;6,9;8,6;4;-
Blåsjø;SN40510;27.08.2023;8;10,4;5,6;-
Blåsjø;SN40510;28.08.2023;7,2;9,4;4,8;-
Blåsjø;SN40510;29.08.2023;5,9;7,7;3;-
Blåsjø;SN40510;30.08.2023;7,3;9,9;4,9;-
Blåsjø;SN40510;31.08.2023;7,2;9,6;3,4;-
Blåsjø;SN40510;01.09.2023;5,7;7,3;2,5;-
Blåsjø;SN40510;02.09.2023;6,8;8,6;4;-
Blåsjø;SN40510;03.09.2023;10,1;13,4;5,9;-
Blåsjø;SN40510;04.09.2023;10;13,6;6;-
Blåsjø;SN40510;05.09.2023;8,4;11,2;5,7;-
Blåsjø;SN40510;06.09.2023;6,7;8,3;3,8;-
Blåsjø;SN40510;07.09.2023;6,5;7,6;3,3;-
Blåsjø;SN40510;08.09.2023;7,2;8,8;2,5;-
Blåsjø;SN40510;09.09.2023;7,6;9,9;3,9;-
Blåsjø;SN40510;10.09.2023;6,9;8,9;3,9;-
Blåsjø;SN40510;11.09.2023;12,4;17,2;7,5;-
Blåsjø;SN40510;12.09.2023;10,1;13,5;6,8;-
Blåsjø;SN40510;13.09.2023;8;10;4,1;-
Blåsjø;SN40510;16.09.2023;8,1;11,3;2,4;-
Blåsjø;SN40510;23.09.2023;9;12;6,5;-
Blåsjø;SN40510;24.09.2023;11,2;15,4;7,4;-
Blåsjø;SN40510;29.09.2023;9,6;13;7,4;-
Blåsjø;SN40510;30.09.2023;16,1;22;10,3;-
Blåsjø;SN40510;01.10.2023;9,9;11,5;3,3;-
Blåsjø;SN40510;02.10.2023;9,4;12,9;6,3;-
Blåsjø;SN40510;03.10.2023;9,6;13,6;6,4;-
Blåsjø;SN40510;04.10.2023;16,1;21,5;7,7;-
Blåsjø;SN40510;05.10.2023;6,7;8,6;3,5;-
Blåsjø;SN40510;06.10.2023;16,6;24,1;11,3;-
Blåsjø;SN40510;07.10.2023;16,4;20;6,6;-
Blåsjø;SN40510;08.10.2023;6,7;8,3;3,4;-
Blåsjø;SN40510;09.10.2023;6,2;7,7;2,7;-
Blåsjø;SN40510;10.10.2023;14,5;19,5;7,3;-
Blåsjø;SN40510;11.10.2023;22,7;30,4;14,1;-
Blåsjø;SN40510;12.10.2023;20,7;27,2;11,4;-
Blåsjø;SN40510;13.10.2023;11,3;15,2;6,7;-
Blåsjø;SN40510;14.10.2023;19,6;24;13,6;-
Blåsjø;SN40510;15.10.2023;19;23,3;10,3;-
Blåsjø;SN40510;16.10.2023;10,9;13,9;7;-
Blåsjø;SN40510;17.10.2023;13,8;17,3;9,5;-
Blåsjø;SN40510;18.10.2023;9,1;12,3;6,6;-
Blåsjø;SN40510;19.10.2023;20,6;25,9;14,8;-
Blåsjø;SN40510;20.10.2023;22,7;31,4;19;-
Blåsjø;SN40510;21.10.2023;26;34,9;17,1;-
Blåsjø;SN40510;22.10.2023;17,1;22,1;8,9;-
Blåsjø;SN40510;23.10.2023;9,4;10,6;1,7;-
Blåsjø;SN40510;24.10.2023;13;15,5;7,9;-
Blåsjø;SN40510;25.10.2023;16,5;20,3;11,7;-
Blåsjø;SN40510;26.10.2023;14,8;18,7;7,1;-
Blåsjø;SN40510;27.10.2023;5,8;6,2;0,8;-
Blåsjø;SN40510;28.10.2023;9,6;11,7;4,8;-
Blåsjø;SN40510;29.10.2023;9,3;12,2;6,5;-
Blåsjø;SN40510;30.10.2023;11;14,4;7,3;-
Blåsjø;SN40510;31.10.2023;7,7;10,4;4,2;-
Blåsjø;SN40510;01.11.2023;16;20;9,6;-
Blåsjø;SN40510;02.11.2023;20,5;24;14,9;-
Blåsjø;SN40510;03.11.2023;24,2;28;14,6;-
Blåsjø;SN40510;04.11.2023;16,7;20;9,2;-
Blåsjø;SN40510;05.11.2023;11,9;14,3;7,3;-
Blåsjø;SN40510;06.11.2023;7,6;10,6;2,4;-
Blåsjø;SN40510;07.11.2023;2,7;3;0,6;-
Blåsjø;SN40510;08.11.2023;9,9;11,9;4,8;-
Blåsjø;SN40510;09.11.2023;14,3;17,2;3,9;-
Blåsjø;SN40510;10.11.2023;10,3;13,2;5,8;-
Blåsjø;SN40510;11.11.2023;5,4;6,1;2,6;-
Blåsjø;SN40510;12.11.2023;10;11,4;5,7;-
Blåsjø;SN40510;13.11.2023;12,4;14,3;7,8;-
Blåsjø;SN40510;14.11.2023;12,8;15,4;6,6;-
Blåsjø;SN40510;15.11.2023;5;5,8;2,4;-
Blåsjø;SN40510;16.11.2023;8,3;9,6;5,6;-
Blåsjø;SN40510;19.11.2023;17;20,4;12,3;-
Blåsjø;SN40510;23.11.2023;22,8;30,9;16,9;-
Blåsjø;SN40510;24.11.2023;18,2;22,3;10;-
Blåsjø;SN40510;25.11.2023;10,7;13,2;2,4;-
Blåsjø;SN40510;26.11.2023;7,9;9,6;4,4;-
Blåsjø;SN40510;27.11.2023;13,1;15,4;8,1;-
Blåsjø;SN40510;28.11.2023;10,9;12,5;6,5;-
Blåsjø;SN40510;29.11.2023;11,1;12,9;7,3;-
Blåsjø;SN40510;30.11.2023;12,8;15,9;6,2;-
Blåsjø;SN40510;01.12.2023;4,7;5,5;1,3;-
