Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn);Høyeste vindkast (døgn);Middel av middelvind fra hovedobs. (døgn);Snødybde
Blåsjø;SN40510;19.05.2015;19,8;22,9;8,9;-
Blåsjø;SN40510;20.05.2015;6,2;7,3;2;-
Blåsjø;SN40510;21.05.2015;6,1;6,8;2,7;-
Blåsjø;SN40510;23.05.2015;17,4;21,1;8,8;-
Blåsjø;SN40510;01.06.2015;19,3;23,6;12,1;-
Blåsjø;SN40510;02.06.2015;17,3;19,3;11,8;-
Blåsjø;SN40510;03.06.2015;15,5;17,2;11,6;-
Blåsjø;SN40510;04.06.2015;11,9;14;7,4;-
Blåsjø;SN40510;05.06.2015;13,2;15,9;5,6;-
Blåsjø;SN40510;06.06.2015;13,7;15,2;7,3;-
Blåsjø;SN40510;07.06.2015;16,2;19,7;9,8;-
Blåsjø;SN40510;08.06.2015;10,6;11,4;3;-
Blåsjø;SN40510;09.06.2015;3,9;4,3;2,1;-
Blåsjø;SN40510;10.06.2015;10,2;11,5;7,2;-
Blåsjø;SN40510;11.06.2015;10,9;12,6;5,8;-
Blåsjø;SN40510;12.06.2015;4,9;5;2,8;-
Blåsjø;SN40510;13.06.2015;4,2;4,6;1,9;-
Blåsjø;SN40510;14.06.2015;13;14,2;9,2;-
Blåsjø;SN40510;15.06.2015;12,1;13,7;7,1;-
Blåsjø;SN40510;16.06.2015;9,2;9,7;2,5;-
Blåsjø;SN40510;17.06.2015;9,9;11,6;5,5;-
Blåsjø;SN40510;18.06.2015;10,3;11,5;5,2;-
Blåsjø;SN40510;19.06.2015;6,9;7,3;2,2;-
Blåsjø;SN40510;20.06.2015;4,4;5;1,6;-
Blåsjø;SN40510;21.06.2015;6,5;7,6;3,9;-
Blåsjø;SN40510;22.06.2015;7,9;8,8;4,2;-
Blåsjø;SN40510;23.06.2015;5,8;6,3;2,5;-
Blåsjø;SN40510;24.06.2015;8;9,3;6,3;-
Blåsjø;SN40510;25.06.2015;9,8;11,5;6,1;-
Blåsjø;SN40510;26.06.2015;6,8;7,5;1,3;-
Blåsjø;SN40510;27.06.2015;3,2;3,4;1,5;-
Blåsjø;SN40510;28.06.2015;3,7;4,1;1,6;-
Blåsjø;SN40510;29.06.2015;7,4;8,5;3,7;-
Blåsjø;SN40510;30.06.2015;5,8;6,6;1;-
Blåsjø;SN40510;01.07.2015;3,5;3,9;2,3;-
Blåsjø;SN40510;02.07.2015;15,2;17,4;9,4;-
Blåsjø;SN40510;03.07.2015;12,7;14,1;3,4;-
Blåsjø;SN40510;04.07.2015;5,1;5,9;2,1;-
Blåsjø;SN40510;05.07.2015;4,1;4,5;2,3;-
Blåsjø;SN40510;07.07.2015;13,2;15,3;4,8;-
Blåsjø;SN40510;12.07.2015;4,2;4,9;2,3;-
Blåsjø;SN40510;13.07.2015;5,8;6,3;3,7;-
Blåsjø;SN40510;16.07.2015;8,7;10,3;5,9;-
Blåsjø;SN40510;17.07.2015;9,5;11,1;5,7;-
Blåsjø;SN40510;18.07.2015;11,6;13,9;7,7;-
Blåsjø;SN40510;19.07.2015;13,7;16,6;4,2;-
Blåsjø;SN40510;20.07.2015;3,9;4,5;2,4;-
Blåsjø;SN40510;21.07.2015;10,8;12,2;4,8;-
Blåsjø;SN40510;22.07.2015;9,9;11,1;6,2;-
Blåsjø;SN40510;23.07.2015;7,5;8,9;5,4;-
Blåsjø;SN40510;24.07.2015;10,7;13;4,2;-
Blåsjø;SN40510;25.07.2015;6,5;7,9;3,5;-
Blåsjø;SN40510;26.07.2015;9,7;11,3;6,4;-
Blåsjø;SN40510;27.07.2015;7,2;9,1;1,7;-
Blåsjø;SN40510;28.07.2015;4,9;5,3;3;-
Blåsjø;SN40510;29.07.2015;6,5;8,4;4,5;-
Blåsjø;SN40510;30.07.2015;6,9;7,5;4,1;-
Blåsjø;SN40510;31.07.2015;9;10,4;5,4;-
Blåsjø;SN40510;01.08.2015;8,3;10,7;3,9;-
Blåsjø;SN40510;02.08.2015;8,7;11,1;3,8;-
Blåsjø;SN40510;03.08.2015;10,2;11,7;6,7;-
Blåsjø;SN40510;04.08.2015;13,7;15,5;7,3;-
