datetime_utc,spot_price,is_weekend,spot_price_lag_1,spot_price_lag_2,spot_price_lag_3,spot_price_lag_7,spot_price_lag_14,spot_price_lag_30,spot_price_rolling_mean_7,spot_price_rolling_mean_14,spot_price_rolling_mean_30,spot_price_rolling_std_7,spot_price_rolling_std_14,spot_price_rolling_std_30,trend,seasonal,residual,day_of_week_0,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4,year_2016,year_2017,year_2018
2016-06-30 00:00:00+00:00,0.14972959685349063,0,0.16387659783677488,0.18360373647984274,0.1722836774827925,0.20637905604719764,0.2755922987294013,0.16083615380347338,0.1486195011142879,0.1755314120038447,0.13180625904486254,0.09200963731549494,0.1443399230325016,0.17553959077112335,0.0,0.3084330529563597,0.6058784275666868,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
2016-07-01 00:00:00+00:00,0.13421828908554578,0,0.14972959685349063,0.16387659783677488,0.18360373647984274,0.19336283185840708,0.26964156910614223,0.15050213615935193,0.13712549533862173,0.1643451039713426,0.13185572313675853,0.0856576522635974,0.14003242460359755,0.17537088347080748,0.002652053604023541,0.3110394642534263,0.5709224888397418,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-02 00:00:00+00:00,0.07770403146509341,1,0.13421828908554578,0.14972959685349063,0.16387659783677488,0.17186578171091438,0.21289463463352387,0.12001331631803813,0.11882633111431185,0.15249305369532906,0.1302092755065125,0.14251251017520444,0.18786846296085746,0.1862718788930482,0.005036020017236353,0.2452246988882911,0.541531603507733,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-03 00:00:00+00:00,0.05750983284169131,1,0.07770403146509341,0.13421828908554578,0.14972959685349063,0.11658062930186819,0.16730011651778276,0.13106863452255446,0.10734665701667012,0.14279974158170905,0.12683865095875535,0.19555173673827497,0.23706146002460185,0.20824185731313394,0.007852859591496841,0.258895746190938,0.483883144436507,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-04 00:00:00+00:00,0.1340339233038348,0,0.05750983284169131,0.07770403146509341,0.13421828908554578,0.1722836774827925,0.2507629140542641,0.12567275148421464,0.09991329334795174,0.13338086759214018,0.12814238309515225,0.18237083542100926,0.2258361795252364,0.20344505706713062,0.0109207690197346,0.32874998351381934,0.5425774267526142,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-05 00:00:00+00:00,0.11977630285152407,0,0.1340339233038348,0.05750983284169131,0.07770403146509341,0.18360373647984274,0.26449536703101595,0.10983188148476952,0.08750922601772826,0.12113882629773776,0.12943339589363245,0.15119246029657019,0.20449084835537676,0.19718031669431446,0.01328250172653278,0.33032754963059174,0.5115087609989387,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-06 00:00:00+00:00,0.06208210422812199,0,0.11977630285152407,0.1340339233038348,0.05750983284169131,0.16387659783677488,0.2527048771014814,0.15580092104533094,0.06772673311788058,0.10384922448250666,0.12506571657923304,0.14980931839626516,0.20665611106244033,0.22015889286062168,0.015374864528688192,0.29851275602581384,0.438327971368177,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-07 00:00:00+00:00,0.13775811209439526,0,0.06208210422812199,0.11977630285152407,0.1340339233038348,0.14972959685349063,0.23291072518448652,0.184722299284248,0.06540022405189994,0.09651818119744315,0.123575434153401,0.14031546681624754,0.18485121729237897,0.22229892485050678,0.016803294651592138,0.38091789979611157,0.4812232273783309,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-08 00:00:00+00:00,0.1494346116027533,0,0.13775811209439526,0.06208210422812199,0.11977630285152407,0.13421828908554578,0.21822116184874885,0.18402874105309885,0.06835732695095953,0.09182515796605883,0.12279178161179449,0.1516640695351853,0.16826449688277173,0.22308592692029466,0.01824429537004546,0.3886701414418312,0.4930130977191305,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-09 00:00:00+00:00,0.12141101278269428,1,0.1494346116027533,0.13775811209439526,0.06208210422812199,0.07770403146509341,0.1939604949231537,0.19290628641180707,0.07685123479349243,0.08643487806543437,0.11994476980824875,0.1438807325124531,0.15910919431119738,0.22766938023154398,0.018892493426296175,0.3698452678570308,0.46188510524153054,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-10 00:00:00+00:00,0.11917404129793507,1,0.12141101278269428,0.1494346116027533,0.13775811209439526,0.05750983284169131,0.13156799644898176,0.188439771403207,0.08883490623499646,0.08671194239162971,0.11719668618849499,0.10464926370207461,0.15885456594694272,0.2323011534296937,0.020218391956924764,0.3638862721132975,0.46390960951080384,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-11 00:00:00+00:00,0.12545476892822027,0,0.11917404129793507,0.12141101278269428,0.1494346116027533,0.1340339233038348,0.19443211452033515,0.19745602840814513,0.087167654358144,0.08170902730724983,0.11435038101483364,0.10239464462317348,0.14710484446300726,0.23538928237919826,0.022060540047656785,0.3691184532832743,0.46814102269645186,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-12 00:00:00+00:00,0.1502949852507376,0,0.12545476892822027,0.11917404129793507,0.12141101278269428,0.11977630285152407,0.2072074571381014,0.19665150086001226,0.09309858044729158,0.07815052340208739,0.11297315937047792,0.11308951212401852,0.12995987402534595,0.2356694634966245,0.021519320324964397,0.3841857904734631,0.4976958073882412,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-13 00:00:00+00:00,0.15218780727630288,0,0.1502949852507376,0.12545476892822027,0.11917404129793507,0.06208210422812199,0.18494423791821557,0.25291294457082625,0.11060950238025291,0.07690176428260032,0.10883866791787256,0.0438256682022818,0.12461265458256751,0.22895748332262544,0.02123891908136999,0.38033167161893644,0.5062705374603531,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-14 00:00:00+00:00,0.15242133726647,0,0.15218780727630288,0.1502949852507376,0.12545476892822027,0.13775811209439526,0.16897852743716357,0.2497225767075405,0.11345911769412864,0.07718933341737177,0.10488012730643992,0.04926245783940167,0.12563507107252203,0.22210911736369582,0.021190346984278685,0.3890376650563174,0.49606550126389026,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-15 00:00:00+00:00,0.15279006882989188,0,0.15242133726647,0.15218780727630288,0.1502949852507376,0.1494346116027533,0.15147311768296068,0.2893524940353992,0.11411120904424421,0.07917342913718739,0.09892394401230109,0.051185731450688915,0.13065513958388092,0.2026315643100658,0.021448257978691876,0.3858916860624375,0.5004407583408612,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-16 00:00:00+00:00,0.1500245821042282,1,0.15279006882989188,0.15242133726647,0.15218780727630288,0.12141101278269428,0.08769350274649057,0.2755922987294013,0.11967190011775874,0.08689971584492806,0.09350974583936322,0.04361141914041286,0.1206786152291833,0.1854855769206073,0.020650238946906985,0.3670165222643046,0.5189148805619553,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-17 00:00:00+00:00,0.14110127826941998,1,0.1500245821042282,0.15279006882989188,0.15242133726647,0.11917404129793507,0.06490317927093159,0.26964156910614223,0.12393318571704992,0.09583011623570703,0.08788567859081042,0.024110258763038787,0.08275519042793936,0.16828170604349924,0.02134162170215581,0.35914357884610415,0.5109435262019185,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-18 00:00:00+00:00,0.18403392330383483,0,0.14110127826941998,0.1500245821042282,0.15279006882989188,0.12545476892822027,0.15126505021361591,0.21289463463352387,0.13531731529452795,0.10117181139666687,0.08762069238422576,0.03975358439761895,0.10133334443746181,0.16748598500325113,0.023242005000843946,0.3979513686478242,0.5442077651724054,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-19 00:00:00+00:00,0.19239183874139631,0,0.18403392330383483,0.14110127826941998,0.1500245821042282,0.1502949852507376,0.13517449925095704,0.16730011651778276,0.14349831483352582,0.10892961253013556,0.09015890692836481,0.06571450711962167,0.11789834569090527,0.17155038695661395,0.02196194211113256,0.40828019465445975,0.5485238247072131,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-20 00:00:00+00:00,0.1866273352999016,0,0.19239183874139631,0.18403392330383483,0.14110127826941998,0.15218780727630288,0.0700632525106809,0.2507629140542641,0.15019120847097722,0.12223526569287091,0.08811392004341534,0.07360995538278566,0.07613744447244719,0.1624314371631017,0.01867708301683768,0.4202487656818001,0.5252523440037626,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-21 00:00:00+00:00,0.19552605703048187,0,0.1866273352999016,0.19239183874139631,0.18403392330383483,0.15242133726647,0.1554680130943794,0.26449536703101595,0.15856807427631003,0.12840684073134478,0.08588096960926195,0.08128992820905238,0.08919062100480607,0.14972787691135608,0.014636021361669194,0.4349445023835138,0.5273292637727253,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-22 00:00:00+00:00,0.2073623402163225,0,0.19552605703048187,0.1866273352999016,0.19239183874139631,0.15279006882989188,0.16864561948621215,0.2527048771014814,0.16917351601445596,0.13459548608375482,0.08492913915521005,0.08881623757137432,0.10744349355181793,0.14395884293105976,0.009938295738961545,0.43802393627293135,0.5497998498509152,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2016-07-23 00:00:00+00:00,0.21551130776794492,1,0.2073623402163225,0.19552605703048187,0.1866273352999016,0.1500245821042282,0.13701936414581373,0.23291072518448652,0.18190004610023092,0.14464858789110702,0.0854541651591898,0.0858157492108324,0.11486276898446135,0.14694058048622177,0.010155074376507311,0.42364793170159026,0.5829183717945394,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
