datetime_utc,spot_price_target_t+1,spot_price_target_t+2,spot_price_target_t+3,spot_price_target_t+4,spot_price_target_t+5,spot_price_target_t+6,spot_price_target_t+7
2016-06-30 00:00:00+00:00,22.667083333333334,20.75125,20.066666666666666,22.660833333333333,22.1775,20.221666666666668,22.78708333333333
2016-07-01 00:00:00+00:00,20.75125,20.066666666666666,22.660833333333333,22.1775,20.221666666666668,22.78708333333333,23.182916666666667
2016-07-02 00:00:00+00:00,20.066666666666666,22.660833333333333,22.1775,20.221666666666668,22.78708333333333,23.182916666666667,22.232916666666668
2016-07-03 00:00:00+00:00,22.660833333333333,22.1775,20.221666666666668,22.78708333333333,23.182916666666667,22.232916666666668,22.157083333333333
2016-07-04 00:00:00+00:00,22.1775,20.221666666666668,22.78708333333333,23.182916666666667,22.232916666666668,22.157083333333333,22.37
2016-07-05 00:00:00+00:00,20.221666666666668,22.78708333333333,23.182916666666667,22.232916666666668,22.157083333333333,22.37,23.212083333333336
2016-07-06 00:00:00+00:00,22.78708333333333,23.182916666666667,22.232916666666668,22.157083333333333,22.37,23.212083333333336,23.27625
2016-07-07 00:00:00+00:00,23.182916666666667,22.232916666666668,22.157083333333333,22.37,23.212083333333336,23.27625,23.284166666666664
2016-07-08 00:00:00+00:00,22.232916666666668,22.157083333333333,22.37,23.212083333333336,23.27625,23.284166666666664,23.296666666666667
2016-07-09 00:00:00+00:00,22.157083333333333,22.37,23.212083333333336,23.27625,23.284166666666664,23.296666666666667,23.202916666666667
2016-07-10 00:00:00+00:00,22.37,23.212083333333336,23.27625,23.284166666666664,23.296666666666667,23.202916666666667,22.90041666666667
2016-07-11 00:00:00+00:00,23.212083333333336,23.27625,23.284166666666664,23.296666666666667,23.202916666666667,22.90041666666667,24.355833333333333
2016-07-12 00:00:00+00:00,23.27625,23.284166666666664,23.296666666666667,23.202916666666667,22.90041666666667,24.355833333333333,24.639166666666668
2016-07-13 00:00:00+00:00,23.284166666666664,23.296666666666667,23.202916666666667,22.90041666666667,24.355833333333333,24.639166666666668,24.443749999999998
2016-07-14 00:00:00+00:00,23.296666666666667,23.202916666666667,22.90041666666667,24.355833333333333,24.639166666666668,24.443749999999998,24.745416666666667
2016-07-15 00:00:00+00:00,23.202916666666667,22.90041666666667,24.355833333333333,24.639166666666668,24.443749999999998,24.745416666666667,25.146666666666665
2016-07-16 00:00:00+00:00,22.90041666666667,24.355833333333333,24.639166666666668,24.443749999999998,24.745416666666667,25.146666666666665,25.422916666666666
2016-07-17 00:00:00+00:00,24.355833333333333,24.639166666666668,24.443749999999998,24.745416666666667,25.146666666666665,25.422916666666666,25.115
2016-07-18 00:00:00+00:00,24.639166666666668,24.443749999999998,24.745416666666667,25.146666666666665,25.422916666666666,25.115,25.247083333333336
2016-07-19 00:00:00+00:00,24.443749999999998,24.745416666666667,25.146666666666665,25.422916666666666,25.115,25.247083333333336,24.944999999999997
2016-07-20 00:00:00+00:00,24.745416666666667,25.146666666666665,25.422916666666666,25.115,25.247083333333336,24.944999999999997,24.858333333333334
2016-07-21 00:00:00+00:00,25.146666666666665,25.422916666666666,25.115,25.247083333333336,24.944999999999997,24.858333333333334,24.33791666666667
2016-07-22 00:00:00+00:00,25.422916666666666,25.115,25.247083333333336,24.944999999999997,24.858333333333334,24.33791666666667,24.200833333333332
2016-07-23 00:00:00+00:00,25.115,25.247083333333336,24.944999999999997,24.858333333333334,24.33791666666667,24.200833333333332,24.325833333333335
2016-07-24 00:00:00+00:00,25.247083333333336,24.944999999999997,24.858333333333334,24.33791666666667,24.200833333333332,24.325833333333335,23.766666666666666
2016-07-25 00:00:00+00:00,24.944999999999997,24.858333333333334,24.33791666666667,24.200833333333332,24.325833333333335,23.766666666666666,24.010833333333334
2016-07-26 00:00:00+00:00,24.858333333333334,24.33791666666667,24.200833333333332,24.325833333333335,23.766666666666666,24.010833333333334,23.909583333333334
2016-07-27 00:00:00+00:00,24.33791666666667,24.200833333333332,24.325833333333335,23.766666666666666,24.010833333333334,23.909583333333334,22.867083333333337
2016-07-28 00:00:00+00:00,24.200833333333332,24.325833333333335,23.766666666666666,24.010833333333334,23.909583333333334,22.867083333333337,21.575
2016-07-29 00:00:00+00:00,24.325833333333335,23.766666666666666,24.010833333333334,23.909583333333334,22.867083333333337,21.575,22.131666666666664
2016-07-30 00:00:00+00:00,23.766666666666666,24.010833333333334,23.909583333333334,22.867083333333337,21.575,22.131666666666664,21.0225
2016-07-31 00:00:00+00:00,24.010833333333334,23.909583333333334,22.867083333333337,21.575,22.131666666666664,21.0225,18.919999999999998
2016-08-01 00:00:00+00:00,23.909583333333334,22.867083333333337,21.575,22.131666666666664,21.0225,18.919999999999998,18.64375
2016-08-02 00:00:00+00:00,22.867083333333337,21.575,22.131666666666664,21.0225,18.919999999999998,18.64375,19.996666666666666
2016-08-03 00:00:00+00:00,21.575,22.131666666666664,21.0225,18.919999999999998,18.64375,19.996666666666666,21.187083333333334
2016-08-04 00:00:00+00:00,22.131666666666664,21.0225,18.919999999999998,18.64375,19.996666666666666,21.187083333333334,21.50708333333333
2016-08-05 00:00:00+00:00,21.0225,18.919999999999998,18.64375,19.996666666666666,21.187083333333334,21.50708333333333,20.930833333333332
2016-08-06 00:00:00+00:00,18.919999999999998,18.64375,19.996666666666666,21.187083333333334,21.50708333333333,20.930833333333332,18.738333333333333
2016-08-07 00:00:00+00:00,18.64375,19.996666666666666,21.187083333333334,21.50708333333333,20.930833333333332,18.738333333333333,19.762083333333333
